"",V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
Paranthropus_robustus,0.0841875289278449,0.250560439697253,-0.0677579553972824,-0.606912301674914,-0.261546251588503,-0.325239618359026,0.593704367616563,-0.156785919617571,0.188318353915277,0.849596007706329,0.253176487196727,0.0273859164784521,0.236316806390391,-0.308575281233714,0.43746663848442,0.608598300173179,-0.204679144614416,0.297092106949333,0.309449057467454,0.700150151037437,-0.067838799846246,-0.0286146913381494,0.234774171561194,0.443954088882197,0.0702825523603101,-0.540443105491053,-0.102991067890815,-0.484467923658926,-0.253647941276622,-0.0884671533712586,0.00146604846255023,-0.613399872925655,0.019440818470272,0.132341443640942,0.716362953702079,0.687728475717138,-0.101446648875662,-0.371516764473533,0.395010721651718,-0.231577683836745,-0.585460583414203,0.353653542628711,-0.306584966969353,0.689142677107185,-0.125526346328658,-0.21236507526409,0.169623098707277,0.430872632730418,0.627673541797451,0.068864486027751
Paranthropus_aethiopicus,0.262971721151726,0.363258937082644,-0.128680621708153,-0.371547959049902,-0.402037522574669,-0.193676343156324,0.715819363486887,-0.211660628942615,0.432246092294985,0.335008541578822,0.00910012897820272,0.247300603685464,0.0296679616023486,-0.404777962077319,0.235898576709093,0.151627367913273,0.0186215014728153,0.0273820647343629,0.273022724264018,0.668284685857271,0.34764781772132,-0.00391313759598267,0.0542159271835616,0.234762406268654,0.137797891452335,-0.517278482058377,-0.13430088414595,0.00879067858994808,-0.105938426325804,-0.422813244916259,-0.00853761407271834,-0.856727753697882,-0.0848309979001412,0.02430105765152,0.72604304358273,0.88045329835511,-0.205425743194201,-0.635374792710738,0.143273678038204,0.0085402106478951,-0.500043764772481,0.324271939592912,-0.399939393984367,0.631009340453014,-0.0319665358108426,-0.210997271474452,0.305884871136472,0.372405987176451,0.768584715333714,0.147119502806076
Australopithecus_garhi,0.485926210785273,-0.141255102863455,-0.0591420485573063,-0.397731796431869,-0.437024376109602,-0.355127200852762,0.447417777685917,0.0100876337813863,0.747202943723826,0.254422604718628,0.154124985165125,-0.0355430111504793,-0.184890065082689,-0.237142055738695,0.128347705538053,0.282627720835294,0.181869387513027,0.25096404023971,0.349000559451619,0.807268825367263,-0.205733705412209,-0.0807148167257113,-0.425115186524926,-0.094326794025001,0.196798626468416,-0.135770834723687,0.0666410181512817,0.0441492673055578,0.0309926638945759,0.1084687926722,-0.320729897901159,-0.513518278545025,-0.0355690777005629,-0.142650904975704,0.685200834240962,0.383901183752897,-0.178848249358568,-0.478037595028682,0.165081230958559,0.0562768859248936,-0.0676660262890352,-0.227469448649699,-0.572137052415581,0.111392433924876,-0.168361211053381,-0.142400975703475,0.19078793332584,-0.181049430716969,0.334875573534992,0.391216602785655
Australopithecus_anamensis,0.578161034043971,0.49056658978141,-0.155795576963628,-0.665836967138749,-0.471366182092938,-0.211015357504056,0.418123180782162,0.281690098592498,0.53896103966677,0.290677839579377,0.00194443264977327,0.245207518753956,0.0887233659715795,-0.292795800330734,-0.0381765624409195,0.211591693181901,0.209284766975287,-0.161495118697882,-0.492193185869708,0.333638979084096,-0.261040133090664,-0.0265170894009917,-0.0527567630211435,-0.0664023611434063,0.198892838837764,0.117924939731604,0.124664598682669,0.0600132571211977,-0.0895885642874313,0.175941517684684,-0.278598208533644,-0.25004563357,-0.0871692072814361,0.00200731235022686,0.402248695109243,0.544909216750389,-0.51147580033089,-0.711056874000117,0.240236905893875,-0.263702880126707,-0.179034111637045,-0.311800195997463,-0.524462551100837,0.246303077605106,-0.297148545420955,-0.0950194251104126,0.347451857451913,-0.127682177611311,-0.0163977133523633,0.670086967753262
Sahelanthropus_tchadensis,0.787210632856387,0.203395411869169,0.0774711723056204,-0.601584994983088,-0.582716328255064,0.180849573986434,0.308573252463575,0.283136520352414,0.74333559894057,0.297188693129156,0.0118405554434724,0.0702178935038656,-0.0957294743485512,-0.293100556164966,-0.0681783689683964,-0.166638138550434,-0.00368365680461874,0.040924834316819,-0.0561179299938223,-0.0393290519603883,-0.199369163325567,-0.15775805747077,-0.0383508226497108,0.242071694366587,0.323731216250009,0.132046312910742,0.00253952045641506,-0.0261057675622808,0.0198085843620427,-0.234863866580339,-0.419687141686437,-0.259356531533969,0.455758937778992,0.103415365177379,0.412882702008,0.597999090431514,-0.289216692968616,-0.51747758448453,0.624149287286447,-0.17872036916306,-0.497873406973095,-0.420059723383632,-0.429521174875836,0.190349283688346,0.0658472315663051,0.0453159807937334,0.430248525063009,-0.00753899535422983,0.360351216478598,0.797615184689755
Pan_troglodytes,0.302604576880572,-0.124991747773735,-0.234149081822253,-0.74261037075039,-0.469297966478678,-0.0951580880632544,-0.0943224066071257,0.230570889214896,-0.00126309646002884,0.178491730987017,0.0513106094894457,0.00195361954832762,0.104407151288187,-0.208214426508371,-0.162076928749144,0.0282892758300838,0.531131586494628,-0.230568700246136,-0.303019544792695,0.485879417822601,-0.267251027366397,0.103827963236863,0.0388514143228209,0.0575308366959901,0.428835280904724,0.286678735109005,0.0717262109001391,-0.142606390386844,0.135254917469146,-0.0684702928690765,-0.260237853243346,0.0827654464727366,-0.0239692562549316,-0.0954221933074921,0.307488419843597,0.228316843364225,-0.283081654987723,-0.202240213895852,-0.0381968627191402,-0.117231174179531,-0.2353455828688,-0.0721264563975703,-0.293499566861686,0.0159862731815734,-0.163850587859652,0.0378289556821298,0.393185024464707,-0.422492217015427,-0.0821166529864957,0.496221541400964
Gorilla_gorilla,0.136062407058876,0.0924314415533421,-0.252034432505203,-0.315782291176464,-0.493732292526859,-0.0564721812825503,0.0418605869406294,0.2359276465809,0.004368491618895,0.21682999687031,0.119912781507731,-0.126437190202445,0.20291107346981,-0.272298817035829,-0.0864448573978114,0.0872423010569548,0.283223420830027,-0.49532153311951,-0.392278072583649,0.289096411759648,-0.0278517599364071,0.114057078701722,-0.112751000599114,-0.207842168560481,0.0930206176275215,0.401218153156391,0.0379004250709585,-0.249536945689419,0.0809008543081689,0.0122330997149191,0.00238994304912862,-0.258936481686433,0.109302535143274,0.0566806104522962,0.395086557743083,0.306858061526888,-0.116363085666094,-0.484470925716678,0.00716472948162928,0.0507138209100907,-0.349138081585274,-0.2876005301575,-0.0729455597996845,0.218672274059085,-0.329495715296151,0.316510137359789,0.361123147766612,-0.549555397595421,-0.092922002763339,0.216738944859893
Pongo_pygmaeus,-0.097624030281759,0.218904565583682,-0.0123892169475088,-0.422113329170116,-0.44956762050976,0.036174698624271,0.282831539896972,-0.0041716961341712,0.42153931594713,0.098771163511828,-0.134791659773884,0.289278024328738,0.322957717053096,0.194089377388154,-0.0861189887229691,0.00150811271585444,0.490936501225103,-0.422777344313874,-0.181030258100194,0.0374966913300111,-0.0838207402560937,0.146912207793844,0.155423074383015,0.186686587465026,0.13815380362116,-0.0494866343607694,0.254487475781592,0.0158728602458651,0.170536759096767,0.298769539629679,-0.634150201022959,-0.459377711263198,0.11772901318505,0.00621830360506022,0.512007502303804,-0.0863724382495896,0.10978525710672,-0.121872280378005,0.0340132482371361,-0.0666778664908801,0.0785223180028443,0.222415971367731,0.266270174577255,-0.0434518102255137,0.194323760271862,-0.0927759534919156,-0.175915325364756,-0.667449818180102,-0.361818433596652,0.072329395839141
Papio,0.0284559126893098,-0.0673592095130771,-0.186762932566285,0.0262741629678968,-0.16398528319376,-0.0942625826349884,0.0694559638238372,0.145549108261825,0.0126370749530231,0.114211071709751,0.00652558867850316,0.154779870765718,0.327415541863557,-0.123520015635868,-0.0241961037991816,-0.100796512529839,0.286263336690893,-0.152639843233625,-0.129858069562993,-0.0808065582470084,-0.0502147102844725,0.0645339434057708,-0.0946594517066894,0.100730250910189,0.0741862016116497,-0.0205356997147399,0.111051699028793,-0.148493251252284,0.171047512700491,-0.0494391657753331,0.022101405494533,-0.261740738607494,-0.0841251189781367,0.187997480511306,0.0154659178183069,0.0260835506865751,0.0112127373169056,-0.252575008287876,0.0946565820331774,0.0389097025537313,-0.118942652667643,-0.0235044468338073,0.12015171370733,0.0333631904097005,0.0989428919974669,-0.0129290045995877,0.0131313674642697,-0.308826724258403,-0.0393298639617011,-0.074179736298286
Hylobates,-0.0335532667843803,0.268044044716115,-0.159936039251465,-0.132631065540869,-0.0809717088932984,-0.0556581689832386,0.0114084086519149,0.356770714541054,0.0740068156848372,0.0895412892124879,-0.125845154932014,-0.073125711982701,0.0533888185615221,0.0239985323049519,-0.015382610563722,-0.0526912536439908,-0.00451836835765238,0.017607058372444,0.119134348623897,-0.0467580170573664,0.0500777324363331,-0.155678886624015,0.00757152016221987,0.203684505779631,0.136909019510888,-0.0411074488593265,-0.162263773461887,0.0675508979338484,-0.194915122215786,0.0387425956598947,-0.147890494605924,-0.0167529139471305,-0.173794219163233,0.0275857444183182,-0.0669924786463204,0.0870901673670199,0.198823915213983,-0.0339699134103894,0.0789225796257376,-0.0767248228738571,-0.0954094010608512,-0.0296062944050137,0.0136876227627784,-0.094707842067541,-0.0395352931438972,-0.0587406771177392,-0.121390466577492,0.0637046707786884,0.136677547809343,-0.085530972691159
Colobus_guereza,0.0570290332558148,-0.0262380414972686,-0.0235754504363004,-0.000596233995581345,-0.0477480919377497,-0.033004128571846,-0.104237220777087,-0.278859702895566,-0.112555202171413,-0.0345958034342063,-0.0369375822422768,-0.0733493328669917,0.120308383741895,0.0772941720298473,0.208372785047297,0.102051323771531,-0.16531264573375,0.0293917281496374,-0.151006033034348,0.0346137482661357,-0.0107246842074596,-0.181428616760048,-0.07700234369122,0.0875697775482741,-0.0157822342051949,-0.0700913037022179,0.0558394475066183,0.0643714745460075,-0.189149436728603,0.0106463363319571,0.155552208273664,-0.0317107173844502,0.0227388103003738,-0.00413653542219713,0.0747129724107864,-0.0345048922718106,-0.0158081066415514,0.0162213836944872,-0.0653055441471288,0.156385878021449,0.0341987003961203,0.0243402698392891,0.013156379570045,0.0872239814782443,-0.021557363902888,0.123779356222002,0.0748556385557357,-0.0950550364275596,-0.0426974628931233,0.104839151824867
