	x
217	((((((((Australopithecus_afarensis:0.074086,((Australopithecus_africanus:0.376663,(((Homo_rudolfensis:0.104052,Kenyanthropus_platyops:0.180463):0.148533,(Homo_habilis:0.188789,(Homo_sapiens:0.174367,Homo_ergaster:0.046466):0.228273):0.16265):0.179046,Australopithecus_sediba:0.077375):0.037281):0.149417,(((Paranthropus_boisei:0.048485,Paranthropus_robustus:0.488633):0.282387,Paranthropus_aethiopicus:0.025492):0.712507,Australopithecus_garhi:0.093945):0.032124):0.1056):0.141751,Australopithecus_anamensis:0.174447):0.293808,Ardipithecus_ramidus:0.049635):0.306439,Pongo_pygmaeus:0.3054):0.009723,(Gorilla_gorilla:0.226097,(Pan_troglodytes:0.158215,Sahelanthropus_tchadensis:0.227324):0.031281):0.008884):0.271903,Hylobates:0.17838):0.1034,Papio:0.212113):0,Colobus_guereza:0.064368);
218	((((((((Ardipithecus_ramidus:0.06245,(((((Homo_habilis:0.087679,(Homo_sapiens:0.240042,Homo_ergaster:0.007014):0.188882):0.24902,((Australopithecus_africanus:0.296351,(Homo_rudolfensis:0.156073,Kenyanthropus_platyops:0.216713):0.180622):0.033742,Australopithecus_sediba:0.101931):0.01618):0.083116,(Australopithecus_garhi:0.071857,(Paranthropus_aethiopicus:0.042527,(Paranthropus_robustus:0.307649,Paranthropus_boisei:0.140517):0.261948):0.361885):0.177005):0.038972,Australopithecus_afarensis:0.211543):0.259033,Australopithecus_anamensis:0.163038):0.141393):0.115575,Sahelanthropus_tchadensis:0.227701):0.073557,Pan_troglodytes:0.059299):0.078013,Gorilla_gorilla:0.106173):0.100146,Pongo_pygmaeus:0.275564):0.110498,Hylobates:0.182121):0.176734,Papio:0.189551):0,Colobus_guereza:0.018632);
219	((((((((Ardipithecus_ramidus:0.171632,(((Australopithecus_garhi:0.121085,((Homo_rudolfensis:0.231476,Kenyanthropus_platyops:0.073039):0.044019,((((Homo_sapiens:0.189921,Homo_ergaster:0.038828):0.061377,Homo_habilis:0.129292):0.211563,Australopithecus_sediba:0.039575):0.127757,Australopithecus_africanus:0.366256):0.022351):0.147559):0.030836,Australopithecus_afarensis:0.122082):0.080399,(((Paranthropus_boisei:0.12892,Paranthropus_robustus:0.405427):0.236965,Paranthropus_aethiopicus:0.018014):0.621847,Australopithecus_anamensis:0.161324):0.09859):0.180413):0.009825,Sahelanthropus_tchadensis:0.168949):0.27954,Pan_troglodytes:0.06287):0.065138,Gorilla_gorilla:0.108342):0.086417,Pongo_pygmaeus:0.198889):0.2748,Papio:0.132179):0.094599,Hylobates:0.246536):0,Colobus_guereza:0.07702);
220	((((((((Ardipithecus_ramidus:0.171327,(Australopithecus_anamensis:0.35635,(Australopithecus_afarensis:0.249302,(((((Homo_sapiens:0.189167,Homo_ergaster:0.142076):0.073098,Homo_habilis:0.160136):0.13275,Australopithecus_sediba:0.062853):0.17221,(Homo_rudolfensis:0.310505,(Kenyanthropus_platyops:0.080671,Australopithecus_africanus:0.252256):0.012898):0.213076):0.090081,(((Paranthropus_robustus:0.292759,Paranthropus_boisei:0.213878):0.192171,Paranthropus_aethiopicus:0.01055):0.659934,Australopithecus_garhi:0.071357):0.000247):0.061036):0.026329):0.208783):0.026918,Sahelanthropus_tchadensis:0.075947):0.234357,Pan_troglodytes:0.200366):0.039688,Gorilla_gorilla:0.224578):0.085344,Pongo_pygmaeus:0.400632):0.290222,Hylobates:0.126707):0.146328,Papio:0.185533):0,Colobus_guereza:0.060536);
221	((((((((Sahelanthropus_tchadensis:0.094507,((Australopithecus_anamensis:0.530172,(((Australopithecus_sediba:0.039503,(Homo_habilis:0.124589,(Homo_sapiens:0.167796,Homo_ergaster:0.05522):0.109007):0.170511):0.121147,((Kenyanthropus_platyops:0.205843,Homo_rudolfensis:0.046803):0.24963,Australopithecus_africanus:0.31937):0.065743):0.292047,Australopithecus_afarensis:0.220678):0.151728):0.004552,(Australopithecus_garhi:0.048851,(Paranthropus_aethiopicus:0.010421,(Paranthropus_robustus:0.516097,Paranthropus_boisei:0.080319):0.244565):0.682639):0.126851):0.217687):0.119044,Ardipithecus_ramidus:0.147226):0.22103,Pan_troglodytes:0.11408):0.05322,Gorilla_gorilla:0.225985):0.095869,Pongo_pygmaeus:0.272752):0.248704,Papio:0.087319):0.114481,Hylobates:0.401751):0,Colobus_guereza:0.057166);
222	(((((((Ardipithecus_ramidus:0.09629,(Australopithecus_anamensis:0.195681,(Sahelanthropus_tchadensis:0.26574,(((Australopithecus_garhi:0.142669,((Kenyanthropus_platyops:0.299433,Australopithecus_africanus:0.165907):0.130933,(Australopithecus_sediba:0.024656,((Homo_habilis:0.104657,(Homo_ergaster:0.021265,Homo_sapiens:0.129308):0.086615):0.264243,Homo_rudolfensis:0.369087):0.104661):0.026268):0.159958):0.047231,((Paranthropus_robustus:0.41257,Paranthropus_boisei:0.174902):0.197957,Paranthropus_aethiopicus:0.05645):0.610273):0.012982,Australopithecus_afarensis:0.225661):0.086255):0.023218):0.090286):0.137348,Pan_troglodytes:0.070832):0.097284,Gorilla_gorilla:0.105521):0.1399,Pongo_pygmaeus:0.208692):0.218355,Hylobates:0.117948):0.157553,Papio:0.211587):0,Colobus_guereza:0.086758);
223	((((((((Ardipithecus_ramidus:0.140945,(Australopithecus_anamensis:0.283461,((((Homo_rudolfensis:0.222531,Kenyanthropus_platyops:0.102259):0.331064,Australopithecus_africanus:0.346694):0.022938,(Australopithecus_sediba:0.023622,(Homo_habilis:0.154324,(Homo_ergaster:0.018529,Homo_sapiens:0.19701):0.118209):0.16153):0.132327):0.187674,(((Paranthropus_aethiopicus:0.010237,(Paranthropus_robustus:0.393621,Paranthropus_boisei:0.055576):0.338678):0.550813,Australopithecus_garhi:0.188088):0.042423,Australopithecus_afarensis:0.250394):0.016438):0.168865):0.136756):0.055264,Sahelanthropus_tchadensis:0.163193):0.12387,Gorilla_gorilla:0.085907):0.023339,Pan_troglodytes:0.147912):0.214304,Pongo_pygmaeus:0.31148):0.225357,Papio:0.092893):0.147917,Hylobates:0.247027):0,Colobus_guereza:0.086773);
224	(((((((Ardipithecus_ramidus:0.183328,(Australopithecus_anamensis:0.35225,(Sahelanthropus_tchadensis:0.272271,(Australopithecus_garhi:0.186637,(Australopithecus_afarensis:0.263671,(((Australopithecus_africanus:0.431905,(Homo_rudolfensis:0.229762,Kenyanthropus_platyops:0.045765):0.19307):0.073777,(Australopithecus_sediba:0.03902,((Paranthropus_robustus:0.474022,Paranthropus_boisei:0.022149):0.231115,Paranthropus_aethiopicus:0.099784):0.831381):0.001984):0.098388,((Homo_sapiens:0.159731,Homo_ergaster:0.051933):0.015422,Homo_habilis:0.239346):0.13525):0.16482):0.021329):0.119459):0.019423):0.113789):0.242553,Pan_troglodytes:0.043323):0.062956,Gorilla_gorilla:0.170294):0.174783,Pongo_pygmaeus:0.295998):0.189568,Hylobates:0.161426):0.106151,Papio:0.21425):0,Colobus_guereza:0.157489);
225	(((((((((Australopithecus_anamensis:0.25574,(((Australopithecus_sediba:0.006261,(((Homo_sapiens:0.130933,Homo_ergaster:0.015359):0.140045,Homo_habilis:0.134416):0.121868,(Kenyanthropus_platyops:0.102968,(Homo_rudolfensis:0.117408,Australopithecus_africanus:0.211099):0.063203):0.120192):0.079917):0.226363,(Australopithecus_garhi:0.165636,(Paranthropus_aethiopicus:0.011694,(Paranthropus_boisei:0.042402,Paranthropus_robustus:0.3999):0.436437):0.683156):0.122835):0.034204,Australopithecus_afarensis:0.361584):0.102988):0.199951,Ardipithecus_ramidus:0.095895):0.032797,Sahelanthropus_tchadensis:0.120119):0.117989,Pan_troglodytes:0.068146):0.168641,Gorilla_gorilla:0.20548):0.083632,Pongo_pygmaeus:0.231286):0.149054,Papio:0.175917):0.050174,Hylobates:0.123112):0,Colobus_guereza:0.085884);
226	((((((((Sahelanthropus_tchadensis:0.232968,((Australopithecus_afarensis:0.059925,((((Paranthropus_boisei:0.041486,Paranthropus_robustus:0.310431):0.289205,Paranthropus_aethiopicus:0.019324):0.498779,(((Australopithecus_sediba:0.0334,(Homo_habilis:0.175773,(Homo_sapiens:0.198176,Homo_ergaster:0.065675):0.104036):0.147043):0.042045,(Homo_rudolfensis:0.111044,Kenyanthropus_platyops:0.040527):0.123719):0.207873,Australopithecus_africanus:0.320671):0.076328):0.09072,Australopithecus_garhi:0.061758):0.06517):0.186925,Australopithecus_anamensis:0.314117):0.057779):0.068703,Ardipithecus_ramidus:0.123213):0.277284,Pan_troglodytes:0.120549):0.083709,Gorilla_gorilla:0.217122):0.060332,Pongo_pygmaeus:0.182363):0.274729,Hylobates:0.112501):0.087635,Papio:0.120152):0,Colobus_guereza:0.058679);
227	((((((((Ardipithecus_ramidus:0.086466,(((Australopithecus_garhi:0.045153,Australopithecus_afarensis:0.245087):0.016848,(((Australopithecus_sediba:0.035647,((Homo_rudolfensis:0.141304,Kenyanthropus_platyops:0.163012):0.232059,((Homo_sapiens:0.208328,Homo_ergaster:0.04682):0.095113,Homo_habilis:0.171505):0.007023):0.145426):0.171093,Australopithecus_africanus:0.493051):0.075465,(Paranthropus_aethiopicus:0.025729,(Paranthropus_robustus:0.450307,Paranthropus_boisei:0.120391):0.207476):0.692415):0.084578):0.22007,Australopithecus_anamensis:0.229774):0.024871):0.042357,Sahelanthropus_tchadensis:0.354322):0.159618,Pan_troglodytes:0.127917):0.209296,Gorilla_gorilla:0.152423):0.11035,Pongo_pygmaeus:0.206645):0.34477,Papio:0.240293):0.082138,Hylobates:0.306532):0,Colobus_guereza:0.038064);
228	(((((((Ardipithecus_ramidus:0.125083,(Sahelanthropus_tchadensis:0.262332,((Australopithecus_afarensis:0.160702,Australopithecus_anamensis:0.264005):0.050767,(((Australopithecus_garhi:0.037481,(Paranthropus_aethiopicus:0.07192,(Paranthropus_robustus:0.401505,Paranthropus_boisei:0.085848):0.399987):0.457323):0.288723,(((Homo_rudolfensis:0.142836,Kenyanthropus_platyops:0.018633):0.176574,Australopithecus_africanus:0.446704):0.039699,Australopithecus_sediba:0.070968):0.047079):0.029419,(Homo_habilis:0.145098,(Homo_sapiens:0.185678,Homo_ergaster:0.045484):0.079719):0.110332):0.341603):0.042303):0.201589):0.217555,Pan_troglodytes:0.139338):0.053771,Gorilla_gorilla:0.065888):0.056415,Pongo_pygmaeus:0.262954):0.172839,Papio:0.090386):0.146878,Hylobates:0.195546):0,Colobus_guereza:0.074721);
229	(((((((Ardipithecus_ramidus:0.181875,(Sahelanthropus_tchadensis:0.289392,((((((Homo_habilis:0.352662,(Homo_ergaster:0.042922,Homo_sapiens:0.126057):0.029648):0.292837,Australopithecus_sediba:0.000957):0.025311,((Kenyanthropus_platyops:0.034744,Homo_rudolfensis:0.148525):0.058643,Australopithecus_africanus:0.387668):0.233358):0.247086,(Australopithecus_garhi:0.164575,Australopithecus_afarensis:0.148967):0.025632):0.049319,(Paranthropus_aethiopicus:0.022577,(Paranthropus_robustus:0.421474,Paranthropus_boisei:0.008369):0.262367):0.572881):0.083253,Australopithecus_anamensis:0.338038):0.08281):0.043171):0.159424,Pan_troglodytes:0.07872):0.306003,Gorilla_gorilla:0.270555):0.084186,Pongo_pygmaeus:0.29355):0.063301,Papio:0.123784):0.132296,Hylobates:0.174946):0,Colobus_guereza:0.112834);
230	((((((((Ardipithecus_ramidus:0.180234,(Australopithecus_anamensis:0.310176,(Australopithecus_afarensis:0.120275,(((((Homo_sapiens:0.121212,Homo_ergaster:0.070775):0.163928,Homo_habilis:0.236469):0.123848,(Australopithecus_sediba:0.071369,(Australopithecus_africanus:0.243092,(Homo_rudolfensis:0.315124,Kenyanthropus_platyops:0.045187):0.181051):0.080566):0.046399):0.124359,(Paranthropus_aethiopicus:0.03512,(Paranthropus_robustus:0.408327,Paranthropus_boisei:0.17685):0.256964):0.781749):0.045143,Australopithecus_garhi:0.309214):0.174117):0.135214):0.247848):0.142514,Sahelanthropus_tchadensis:0.145338):0.150734,Pan_troglodytes:0.067137):0.052958,Gorilla_gorilla:0.166418):0.061593,Pongo_pygmaeus:0.237916):0.24731,Hylobates:0.043604):0.207021,Papio:0.277771):0,Colobus_guereza:0.048502);
231	(((((((Ardipithecus_ramidus:0.05552,(Sahelanthropus_tchadensis:0.138526,(((Australopithecus_garhi:0.244402,(((Kenyanthropus_platyops:0.183685,Australopithecus_africanus:0.426088):0.115695,((((Homo_sapiens:0.162791,Homo_ergaster:0.022318):0.169911,Homo_habilis:0.221775):0.030789,((Paranthropus_aethiopicus:0.25563,Paranthropus_robustus:0.411815):0.049155,Paranthropus_boisei:0.070987):0.709064):0.023408,Australopithecus_sediba:0.05026):0.30339):0.000202,Homo_rudolfensis:0.237011):0.351394):0.06114,Australopithecus_afarensis:0.13134):0.370434,Australopithecus_anamensis:0.146523):0.049222):0.065114):0.178831,Pan_troglodytes:0.053355):0.077986,Gorilla_gorilla:0.289526):0.07612,Pongo_pygmaeus:0.291803):0.290451,Papio:0.126773):0.144813,Hylobates:0.290651):0,Colobus_guereza:0.038226);
232	((((((((Ardipithecus_ramidus:0.096399,(Australopithecus_anamensis:0.345363,((Australopithecus_garhi:0.039568,((Paranthropus_boisei:0.205622,Paranthropus_robustus:0.274221):0.346483,Paranthropus_aethiopicus:0.143547):0.896231):0.067988,(Australopithecus_afarensis:0.174836,((Homo_habilis:0.231131,(Homo_sapiens:0.154599,Homo_ergaster:0.01156):0.007576):0.227424,(Australopithecus_sediba:0.034171,((Australopithecus_africanus:0.31417,Homo_rudolfensis:0.193148):0.035105,Kenyanthropus_platyops:0.096982):0.135478):0.057565):0.354154):0.113155):0.143857):0.023776):0.020883,Sahelanthropus_tchadensis:0.202421):0.04304,Pan_troglodytes:0.236006):0.119814,Gorilla_gorilla:0.092855):0.081562,Pongo_pygmaeus:0.282092):0.30955,Hylobates:0.104486):0.078909,Papio:0.208281):0,Colobus_guereza:0.122295);
233	(((((((Ardipithecus_ramidus:0.163893,(Sahelanthropus_tchadensis:0.103932,((Australopithecus_afarensis:0.116734,((((Paranthropus_robustus:0.252295,Paranthropus_boisei:0.14385):0.301757,Paranthropus_aethiopicus:0.067279):0.51132,Australopithecus_garhi:0.140015):0.078414,(Australopithecus_africanus:0.40987,((Australopithecus_sediba:0.039712,(Kenyanthropus_platyops:0.132056,Homo_rudolfensis:0.118383):0.202641):0.004336,((Homo_sapiens:0.272991,Homo_ergaster:0.008318):0.151541,Homo_habilis:0.174525):0.16015):0.224121):0.002103):0.191771):0.207713,Australopithecus_anamensis:0.488631):0.020899):0.048692):0.18956,Pan_troglodytes:0.100023):0.041272,Gorilla_gorilla:0.160409):0.098901,Pongo_pygmaeus:0.211427):0.207605,Papio:0.235589):0.067244,Hylobates:0.053802):0,Colobus_guereza:0.096419);
234	(((((((Ardipithecus_ramidus:0.038135,(Australopithecus_anamensis:0.1319,(Australopithecus_garhi:0.247759,(Australopithecus_afarensis:0.137274,((((Homo_rudolfensis:0.308455,Kenyanthropus_platyops:0.030531):0.196082,Australopithecus_africanus:0.385187):0.00357,(Australopithecus_sediba:0.198142,(Homo_habilis:0.088778,(Homo_ergaster:0.042887,Homo_sapiens:0.197558):0.178733):0.173847):0.005251):0.233052,(Paranthropus_aethiopicus:0.002459,(Paranthropus_robustus:0.28539,Paranthropus_boisei:0.209729):0.216298):0.698999):0.001177):0.060912):0.112366):0.324846):0.165054,Sahelanthropus_tchadensis:0.189555):0.125882,(Pan_troglodytes:0.113749,Gorilla_gorilla:0.232209):0.048616):0.024144,Pongo_pygmaeus:0.232113):0.165953,Hylobates:0.09793):0.123791,Papio:0.172079):0,Colobus_guereza:0.080917);
235	((((((((Sahelanthropus_tchadensis:0.183464,(Australopithecus_anamensis:0.299905,(Australopithecus_afarensis:0.149203,((((Paranthropus_robustus:0.473487,Paranthropus_boisei:0.111674):0.255428,Paranthropus_aethiopicus:0.003048):0.497451,Australopithecus_garhi:0.141759):0.045075,(((Homo_sapiens:0.168958,Homo_ergaster:0.067361):0.226301,Homo_habilis:0.12873):0.129387,(Australopithecus_sediba:0.129814,(Australopithecus_africanus:0.275227,(Homo_rudolfensis:0.144462,Kenyanthropus_platyops:0.041892):0.116587):0.161131):0.061129):0.220787):0.166588):0.07431):0.099308):0.072914,Ardipithecus_ramidus:0.097096):0.161958,Pan_troglodytes:0.022473):0.134964,Gorilla_gorilla:0.216073):0.162203,Pongo_pygmaeus:0.234633):0.194414,Papio:0.046549):0.165595,Hylobates:0.199281):0,Colobus_guereza:0.083471);
236	((((((((((((((Homo_sapiens:0.233989,Homo_ergaster:0.0688):0.195955,Homo_habilis:0.127416):0.135912,(Australopithecus_sediba:0.034617,(Australopithecus_africanus:0.333663,(Kenyanthropus_platyops:0.122017,Homo_rudolfensis:0.19913):0.130849):0.090792):0.008225):0.246969,Australopithecus_afarensis:0.088074):0.03835,Australopithecus_garhi:0.144386):0.2236,Australopithecus_anamensis:0.196724):0.130032,Ardipithecus_ramidus:0.10497):0.027007,(Sahelanthropus_tchadensis:0.09833,(Paranthropus_aethiopicus:0.101538,(Paranthropus_boisei:0.068592,Paranthropus_robustus:0.378077):0.319671):1.245982):0.108522):0.442007,Pan_troglodytes:0.074858):0.167111,Gorilla_gorilla:0.10543):0.240499,Pongo_pygmaeus:0.280833):0.15153,Papio:0.224947):0.118656,Hylobates:0.154168):0,Colobus_guereza:0.05366);
237	(((((((Ardipithecus_ramidus:0.048247,(Sahelanthropus_tchadensis:0.146496,(Australopithecus_anamensis:0.265606,((((Paranthropus_boisei:0.167267,Paranthropus_robustus:0.350895):0.215487,Paranthropus_aethiopicus:0.040317):0.814209,(((Kenyanthropus_platyops:0.065275,Homo_rudolfensis:0.113303):0.177917,(Homo_habilis:0.215331,(Homo_sapiens:0.187312,Homo_ergaster:0.042711):0.126398):0.1021):0.133797,(Australopithecus_africanus:0.284567,Australopithecus_sediba:0.039513):0.046571):0.164496):0.005799,(Australopithecus_afarensis:0.169486,Australopithecus_garhi:0.305887):0.016378):0.16993):0.038593):0.016096):0.139069,Pan_troglodytes:0.130288):0.111258,Gorilla_gorilla:0.283591):0.160614,Pongo_pygmaeus:0.239957):0.166541,Papio:0.10075):0.171489,Hylobates:0.219867):0,Colobus_guereza:0.088999);
238	((((((((Sahelanthropus_tchadensis:0.079202,((((Australopithecus_garhi:0.089764,(Australopithecus_sediba:0.052,((Australopithecus_africanus:0.253665,(Kenyanthropus_platyops:0.063398,Homo_rudolfensis:0.209649):0.076452):0.087851,(Homo_habilis:0.26084,(Homo_sapiens:0.242901,Homo_ergaster:0.064501):0.078691):0.093145):0.048314):0.17699):0.042482,((Paranthropus_robustus:0.440604,Paranthropus_boisei:0.029396):0.23728,Paranthropus_aethiopicus:0.127168):0.511348):0.098146,Australopithecus_afarensis:0.20801):0.269211,Australopithecus_anamensis:0.235829):0.119609):0.080284,Ardipithecus_ramidus:0.219055):0.147977,Pan_troglodytes:0.044783):0.221115,Gorilla_gorilla:0.130831):0.008129,Pongo_pygmaeus:0.265238):0.215334,Papio:0.155069):0.04854,Hylobates:0.151466):0,Colobus_guereza:0.075521);
239	(((((((Ardipithecus_ramidus:0.05107,(((((Paranthropus_boisei:0.051167,Paranthropus_robustus:0.303708):0.348787,Paranthropus_aethiopicus:0.049582):1.011483,((((Homo_rudolfensis:0.203052,Kenyanthropus_platyops:0.009653):0.111117,Australopithecus_africanus:0.297266):0.154413,(((Homo_ergaster:0.046866,Homo_sapiens:0.127318):0.073699,Homo_habilis:0.195297):0.267152,Australopithecus_sediba:0.046003):0.082913):0.171324,(Australopithecus_garhi:0.190795,Australopithecus_afarensis:0.259089):0.112449):0.097038):0.08829,Australopithecus_anamensis:0.199532):0.098548,Sahelanthropus_tchadensis:0.174608):0.156407):0.165244,Pan_troglodytes:0.099372):0.144846,Gorilla_gorilla:0.101738):0.113534,Pongo_pygmaeus:0.388637):0.118099,Papio:0.192363):0.160073,Hylobates:0.267518):0,Colobus_guereza:0.074949);
240	(((((((Ardipithecus_ramidus:0.093138,(((Australopithecus_anamensis:0.23729,Sahelanthropus_tchadensis:0.222358):0.031092,(((((Homo_ergaster:0.081371,Homo_sapiens:0.205361):0.187438,Homo_habilis:0.150723):0.278757,((Kenyanthropus_platyops:0.181844,Homo_rudolfensis:0.129144):0.325616,Australopithecus_sediba:0.087102):0.00354):0.176396,(Australopithecus_garhi:0.041041,Australopithecus_africanus:0.203236):0.174324):0.030673,Australopithecus_afarensis:0.262797):0.152796):0.013786,((Paranthropus_boisei:0.034278,Paranthropus_robustus:0.548361):0.369331,Paranthropus_aethiopicus:0.029418):0.761591):0.096271):0.222966,Pan_troglodytes:0.156768):0.105069,Gorilla_gorilla:0.187543):0.016828,Pongo_pygmaeus:0.453122):0.165074,Hylobates:0.150021):0.08588,Papio:0.190112):0,Colobus_guereza:0.093992);
241	((((((((Sahelanthropus_tchadensis:0.423867,Ardipithecus_ramidus:0.042448):0.017094,(Australopithecus_anamensis:0.219049,(Australopithecus_afarensis:0.194373,((Australopithecus_garhi:0.045248,(Australopithecus_sediba:0.082923,(((Homo_rudolfensis:0.149867,Kenyanthropus_platyops:0.188746):0.172102,Australopithecus_africanus:0.394344):0.096829,((Homo_ergaster:0.030105,Homo_sapiens:0.148042):0.160733,Homo_habilis:0.138047):0.185823):0.019464):0.270438):0.041032,((Paranthropus_robustus:0.311748,Paranthropus_boisei:0.056972):0.294197,Paranthropus_aethiopicus:0.051336):0.69279):0.1243):0.035176):0.135193):0.239432,Pan_troglodytes:0.00729):0.116624,Gorilla_gorilla:0.21779):0.085651,Pongo_pygmaeus:0.241444):0.210179,Papio:0.095422):0.090536,Hylobates:0.266131):0,Colobus_guereza:0.1961);
242	((((((Ardipithecus_ramidus:0.091357,(Sahelanthropus_tchadensis:0.18125,((((((Paranthropus_robustus:0.692836,Paranthropus_boisei:0.030101):0.309515,Paranthropus_aethiopicus:0.123225):0.556789,Australopithecus_garhi:0.157331):0.030762,Australopithecus_afarensis:0.266338):0.011106,(Australopithecus_sediba:0.014515,(((Kenyanthropus_platyops:0.152582,Homo_rudolfensis:0.172759):0.207334,Australopithecus_africanus:0.486332):0.103628,((Homo_sapiens:0.166735,Homo_ergaster:0.019348):0.093999,Homo_habilis:0.183549):0.251856):0.028038):0.215628):0.098122,Australopithecus_anamensis:0.250607):0.031817):0.06531):0.36934,Pan_troglodytes:0.143679):0.043011,(Pongo_pygmaeus:0.294274,Gorilla_gorilla:0.117376):0.041015):0.426386,Papio:0.090202):0.09334,Hylobates:0.223306):0,Colobus_guereza:0.065408);
243	((((((((Ardipithecus_ramidus:0.11254,((Australopithecus_afarensis:0.154341,((((Homo_habilis:0.208712,(Homo_ergaster:0.004221,Homo_sapiens:0.18328):0.101325):0.264707,Australopithecus_sediba:0.01121):0.04018,(Australopithecus_africanus:0.413363,(Kenyanthropus_platyops:0.080836,Homo_rudolfensis:0.102361):0.113985):0.112675):0.191912,Australopithecus_garhi:0.08681):0.043688):0.129693,(Australopithecus_anamensis:0.203225,((Paranthropus_boisei:0.081153,Paranthropus_robustus:0.249335):0.373971,Paranthropus_aethiopicus:0.076773):0.892394):0.197849):0.169367):0.057083,Sahelanthropus_tchadensis:0.191083):0.196144,Pan_troglodytes:0.107719):0.077554,Gorilla_gorilla:0.10977):0.262745,Pongo_pygmaeus:0.266033):0.163124,Papio:0.140344):0.219716,Hylobates:0.243149):0,Colobus_guereza:0.066744);
244	((((((((Ardipithecus_ramidus:0.229424,(Australopithecus_anamensis:0.403313,(((((Paranthropus_robustus:0.265774,Paranthropus_boisei:0.218198):0.156078,Paranthropus_aethiopicus:0.088952):0.548491,Australopithecus_garhi:0.039363):0.043403,((Australopithecus_africanus:0.367985,(Homo_rudolfensis:0.033414,Kenyanthropus_platyops:0.086372):0.290917):0.052624,((Homo_habilis:0.122747,(Homo_sapiens:0.204201,Homo_ergaster:0.015441):0.115193):0.151472,Australopithecus_sediba:0.120878):0.051443):0.192065):0.116066,Australopithecus_afarensis:0.148184):0.007272):0.160279):0.024415,Sahelanthropus_tchadensis:0.094389):0.175827,Pan_troglodytes:0.104915):0.088093,Gorilla_gorilla:0.228944):0.070102,Pongo_pygmaeus:0.189962):0.152817,Papio:0.163069):0.126028,Hylobates:0.268763):0,Colobus_guereza:0.068652);
245	((((((((Ardipithecus_ramidus:0.06073,((((Paranthropus_robustus:0.367909,Paranthropus_boisei:0.059349):0.299577,Paranthropus_aethiopicus:0.022961):0.619075,Australopithecus_anamensis:0.020335):0.124742,((Australopithecus_afarensis:0.087838,Australopithecus_garhi:0.228417):0.065912,((Homo_rudolfensis:0.21503,(Australopithecus_africanus:0.312124,Kenyanthropus_platyops:0.105471):0.071448):0.087529,(Australopithecus_sediba:0.018716,(Homo_habilis:0.324879,(Homo_ergaster:0.086255,Homo_sapiens:0.121439):0.026618):0.242639):0.042167):0.294313):0.192159):0.244678):0.037145,Sahelanthropus_tchadensis:0.237765):0.17407,Pan_troglodytes:0.124632):0.082346,Pongo_pygmaeus:0.48149):0.04373,Gorilla_gorilla:0.212468):0.211253,Papio:0.039633):0.242745,Hylobates:0.172607):0,Colobus_guereza:0.098688);
246	(((((((Sahelanthropus_tchadensis:0.138153,(Australopithecus_anamensis:0.272811,(Australopithecus_afarensis:0.261029,(Australopithecus_garhi:0.137949,((((Australopithecus_africanus:0.333618,(Kenyanthropus_platyops:0.145501,Homo_rudolfensis:0.126983):0.050453):0.148768,(Homo_habilis:0.109848,(Homo_ergaster:0.046,Homo_sapiens:0.249517):0.182014):0.234945):0.115722,Australopithecus_sediba:0.024925):0.06032,((Paranthropus_boisei:0.064423,Paranthropus_robustus:0.47145):0.250881,Paranthropus_aethiopicus:0.035968):0.725228):0.294147):0.02497):0.092014):0.116407):0.079507,Ardipithecus_ramidus:0.119545):0.255305,Pan_troglodytes:0.064155):0.090969,(Gorilla_gorilla:0.115281,Pongo_pygmaeus:0.386946):0.029036):0.317767,Papio:0.072475):0.153688,Hylobates:0.1886):0,Colobus_guereza:0.084899);
247	((((((((((Australopithecus_garhi:0.126006,((((Australopithecus_africanus:0.275453,Homo_rudolfensis:0.325201):0.010374,Kenyanthropus_platyops:0.269342):0.064261,(Australopithecus_sediba:0.014403,(Homo_habilis:0.252621,(Homo_sapiens:0.133933,Homo_ergaster:0.028787):0.083542):0.262019):0.045947):0.290874,(Australopithecus_afarensis:0.263589,(Paranthropus_aethiopicus:0.006079,(Paranthropus_robustus:0.307707,Paranthropus_boisei:0.206604):0.399285):0.551619):0.046591):0.008508):0.154847,Australopithecus_anamensis:0.286559):0.074682,Ardipithecus_ramidus:0.100895):0.041219,Sahelanthropus_tchadensis:0.182541):0.127812,Pan_troglodytes:0.03793):0.095746,Gorilla_gorilla:0.096039):0.103179,Pongo_pygmaeus:0.175463):0.239255,Papio:0.079829):0.170922,Hylobates:0.121517):0,Colobus_guereza:0.156765);
248	(((((((Ardipithecus_ramidus:0.200548,(Sahelanthropus_tchadensis:0.239805,(Australopithecus_anamensis:0.449943,(Australopithecus_afarensis:0.150513,((Australopithecus_garhi:0.172047,((Australopithecus_africanus:0.30621,(Kenyanthropus_platyops:0.024768,Homo_rudolfensis:0.151403):0.073038):0.279651,(Australopithecus_sediba:0.016309,((Homo_ergaster:0.047808,Homo_sapiens:0.13012):0.11081,Homo_habilis:0.111189):0.169318):0.023181):0.075673):0.094382,(Paranthropus_aethiopicus:0.063411,(Paranthropus_boisei:0.17803,Paranthropus_robustus:0.436302):0.232061):0.700095):0.126618):0.15521):0.207523):0.010557):0.116019,Pan_troglodytes:0.064452):0.025631,Gorilla_gorilla:0.334807):0.089354,Pongo_pygmaeus:0.412595):0.153595,Papio:0.131537):0.120636,Hylobates:0.145827):0,Colobus_guereza:0.068369);
