	x
11	((((((((Ardipithecus_ramidus:0.079511,(Australopithecus_anamensis:0.12911,((Australopithecus_afarensis:0.165634,((Paranthropus_aethiopicus:0.007762,(Paranthropus_robustus:0.420698,Paranthropus_boisei:0.049538):0.261519):0.942635,Australopithecus_garhi:0.284235):0.142124):0.031713,((((Homo_sapiens:0.140062,Homo_ergaster:0.057041):0.166289,Homo_habilis:0.102686):0.131359,(Kenyanthropus_platyops:0.068039,(Australopithecus_africanus:0.430718,Homo_rudolfensis:0.275419):0.042746):0.271689):0.019295,Australopithecus_sediba:0.082247):0.262674):0.163847):0.110406):0.069071,Sahelanthropus_tchadensis:0.270323):0.165489,Pan_troglodytes:0.059689):0.061199,Gorilla_gorilla:0.198272):0.087884,Pongo_pygmaeus:0.208352):0.175542,Hylobates:0.203952):0.104448,Papio:0.208419):0,Colobus_guereza:0.010773);
12	((((((((Ardipithecus_ramidus:0.150426,(((Australopithecus_afarensis:0.190395,((Paranthropus_boisei:0.098226,Paranthropus_robustus:0.3053):0.233226,Paranthropus_aethiopicus:0.104435):0.538555):0.060941,(((Australopithecus_sediba:0.10591,(Homo_habilis:0.21317,(Homo_sapiens:0.12128,Homo_ergaster:0.018111):0.052445):0.278106):0.015666,((Kenyanthropus_platyops:0.215067,Homo_rudolfensis:0.205615):0.122711,Australopithecus_africanus:0.331603):0.319236):0.363709,Australopithecus_garhi:0.06253):0.088602):0.088044,Australopithecus_anamensis:0.097584):0.08675):0.017011,Sahelanthropus_tchadensis:0.217425):0.17747,Pan_troglodytes:0.058524):0.244654,Pongo_pygmaeus:0.264571):0.055108,Gorilla_gorilla:0.231651):0.162875,Papio:0.038293):0.161706,Hylobates:0.236494):0,Colobus_guereza:0.14734);
13	((((((((Ardipithecus_ramidus:0.097698,(Australopithecus_anamensis:0.25968,(((Paranthropus_aethiopicus:0.006393,(Paranthropus_boisei:0.168217,Paranthropus_robustus:0.392481):0.235311):0.52473,(((Australopithecus_sediba:0.0685,(Homo_habilis:0.1257,(Homo_sapiens:0.169033,Homo_ergaster:0.034644):0.116449):0.194473):0.046659,((Australopithecus_africanus:0.263141,Homo_rudolfensis:0.286011):0.01485,Kenyanthropus_platyops:0.302092):0.099523):0.176975,Australopithecus_garhi:0.047015):0.012435):0.168896,Australopithecus_afarensis:0.179294):0.123971):0.08268):0.034528,Sahelanthropus_tchadensis:0.1184):0.150403,Pan_troglodytes:0.186932):0.06838,Gorilla_gorilla:0.146654):0.075285,Pongo_pygmaeus:0.343366):0.314744,Papio:0.175709):0.0838,Hylobates:0.193604):0,Colobus_guereza:0.075536);
14	((((((((Ardipithecus_ramidus:0.22308,(((((Kenyanthropus_platyops:0.216901,Australopithecus_africanus:0.33055):0.016457,(Australopithecus_sediba:0.05097,(((Homo_sapiens:0.183323,Homo_ergaster:0.055504):0.05756,Homo_habilis:0.20769):0.046671,Homo_rudolfensis:0.27115):0.103673):0.103506):0.301085,(((Paranthropus_robustus:0.339535,Paranthropus_boisei:0.173536):0.414166,Paranthropus_aethiopicus:0.017959):0.711926,Australopithecus_garhi:0.023808):0.077231):0.048834,Australopithecus_afarensis:0.108452):0.285112,Australopithecus_anamensis:0.205986):0.092811):0.172455,Sahelanthropus_tchadensis:0.054228):0.12455,Pan_troglodytes:0.104913):0.083443,Gorilla_gorilla:0.129452):0.079467,Pongo_pygmaeus:0.295857):0.138024,Papio:0.170689):0.159617,Hylobates:0.182175):0,Colobus_guereza:0.131578);
15	((((((((((Australopithecus_afarensis:0.116494,((Australopithecus_garhi:0.103475,(((Kenyanthropus_platyops:0.177584,Homo_rudolfensis:0.056903):0.12359,Australopithecus_africanus:0.293716):0.141524,(Australopithecus_sediba:0.051229,(Homo_habilis:0.288563,(Homo_ergaster:0.02612,Homo_sapiens:0.140265):0.100273):0.174203):0.076049):0.246103):0.037815,((Paranthropus_robustus:0.209986,Paranthropus_boisei:0.184513):0.277976,Paranthropus_aethiopicus:0.032355):0.768767):0.118665):0.137593,Australopithecus_anamensis:0.298773):0.007962,Ardipithecus_ramidus:0.199729):0.0429,Sahelanthropus_tchadensis:0.104402):0.296356,Pan_troglodytes:0.089865):0.05549,Gorilla_gorilla:0.062869):0.178121,Pongo_pygmaeus:0.527391):0.132759,Papio:0.17249):0.129888,Hylobates:0.13873):0,Colobus_guereza:0.148347);
16	((((((((Ardipithecus_ramidus:0.06375,(Australopithecus_anamensis:0.371203,((Australopithecus_afarensis:0.237962,((Paranthropus_aethiopicus:0.003103,(Paranthropus_boisei:0.026843,Paranthropus_robustus:0.456788):0.256694):0.595958,(((Australopithecus_africanus:0.488145,(Kenyanthropus_platyops:0.096517,Homo_rudolfensis:0.062744):0.212417):0.171752,Australopithecus_sediba:0.007018):0.048205,(Homo_habilis:0.171061,(Homo_ergaster:0.064013,Homo_sapiens:0.21146):0.124213):0.148034):0.253051):0.011318):0.000608,Australopithecus_garhi:0.124002):0.225953):0.022684):0.063758,Sahelanthropus_tchadensis:0.191623):0.202809,Pan_troglodytes:0.033669):0.185388,Gorilla_gorilla:0.1029):0.213728,Pongo_pygmaeus:0.217523):0.263607,Papio:0.244818):0.132041,Hylobates:0.200567):0,Colobus_guereza:0.08321);
17	(((((((((Australopithecus_anamensis:0.275546,((Australopithecus_afarensis:0.167402,Australopithecus_garhi:0.13673):0.066894,((Australopithecus_africanus:0.35298,(((Homo_habilis:0.144428,(Homo_sapiens:0.130745,Homo_ergaster:0.050717):0.191063):0.291497,Australopithecus_sediba:0.035726):0.029309,(Kenyanthropus_platyops:0.173815,Homo_rudolfensis:0.12542):0.176284):0.05611):0.078548,(Paranthropus_aethiopicus:0.000695,(Paranthropus_boisei:0.118504,Paranthropus_robustus:0.38353):0.295935):0.721655):0.180228):0.094385):0.235999,Sahelanthropus_tchadensis:0.07869):0.07082,Ardipithecus_ramidus:0.113192):0.13653,Pan_troglodytes:0.086913):0.041334,Gorilla_gorilla:0.155902):0.088398,Pongo_pygmaeus:0.376719):0.286533,Hylobates:0.063262):0.18495,Papio:0.251366):0,Colobus_guereza:0.037576);
18	(((((((Ardipithecus_ramidus:0.127072,(Sahelanthropus_tchadensis:0.297799,(Australopithecus_anamensis:0.34055,(((((Australopithecus_africanus:0.427049,Homo_rudolfensis:0.283457):0.048764,Kenyanthropus_platyops:0.093301):0.036642,(Australopithecus_sediba:0.032368,((Homo_ergaster:0.055422,Homo_sapiens:0.191757):0.107503,Homo_habilis:0.314665):0.151157):0.09548):0.142465,(Australopithecus_garhi:0.005457,(Paranthropus_aethiopicus:0.011594,(Paranthropus_boisei:0.166075,Paranthropus_robustus:0.194331):0.24694):0.916915):0.14762):0.156147,Australopithecus_afarensis:0.280029):0.110319):0.044318):0.051259):0.315754,Pan_troglodytes:0.047574):0.099075,Gorilla_gorilla:0.159629):0.077347,Pongo_pygmaeus:0.392294):0.232131,Papio:0.12253):0.114872,Hylobates:0.128837):0,Colobus_guereza:0.052698);
19	((((((((Ardipithecus_ramidus:0.097559,(Australopithecus_anamensis:0.19441,((Australopithecus_garhi:0.141309,(Australopithecus_africanus:0.310378,(Australopithecus_sediba:0.012875,(((Homo_rudolfensis:0.082888,((Homo_sapiens:0.164675,Homo_ergaster:0.046848):0.029069,Homo_habilis:0.281078):0.194173):0.158061,Kenyanthropus_platyops:0.104732):0.117287,(Paranthropus_aethiopicus:0.264516,(Paranthropus_robustus:0.407808,Paranthropus_boisei:0.123566):0.114582):0.651697):0.004269):0.005192):0.329993):0.050228,Australopithecus_afarensis:0.099537):0.144638):0.086763):0.036218,Sahelanthropus_tchadensis:0.252757):0.146506,Pan_troglodytes:0.076704):0.125787,Gorilla_gorilla:0.18018):0.085149,Pongo_pygmaeus:0.334946):0.239397,Papio:0.049453):0.141246,Hylobates:0.242698):0,Colobus_guereza:0.088885);
20	(((((((((Australopithecus_anamensis:0.229282,(Australopithecus_afarensis:0.198722,((((Paranthropus_aethiopicus:0.129595,(Paranthropus_robustus:0.299291,Paranthropus_boisei:0.106154):0.119339):0.634059,(Australopithecus_sediba:0.027921,Australopithecus_africanus:0.389999):0.049352):0.004572,((Homo_habilis:0.178144,(Homo_ergaster:0.098269,Homo_sapiens:0.196884):0.110511):0.207131,(Homo_rudolfensis:0.108363,Kenyanthropus_platyops:0.067328):0.291851):0.086054):0.192346,Australopithecus_garhi:0.098655):0.041046):0.070447):0.212392,Sahelanthropus_tchadensis:0.102218):0.052013,Ardipithecus_ramidus:0.181011):0.084494,Pan_troglodytes:0.121668):0.103614,Gorilla_gorilla:0.187061):0.055482,Pongo_pygmaeus:0.400537):0.277675,Papio:0.090106):0.271029,Hylobates:0.238709):0,Colobus_guereza:0.015864);
